Time [s],GPIO 5,GPIO 6,GPIO 12,GPIO 13,GPIO 16,GPIO 17,GPIO 18,GPIO 19,GPIO 20,GPIO 21,GPIO 22,GPIO 23,GPIO 24,GPIO 25,GPIO 26,GPIO 27
0.000569105,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
0.001182079,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.001703977,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0.002223014,1,1,0,0,1,0,0,0,1,1,0,0,0,0,1,1
0.002740144,1,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0
0.003258943,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
0.003775119,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.004293918,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.104838132,1,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0
0.105206966,1,1,0,1,1,0,1,1,0,0,0,0,0,0,1,0
0.105572938,1,1,0,1,1,1,0,1,0,0,0,0,0,0,1,0
0.105940103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
0.106305122,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.106670141,1,1,0,1,1,0,0,1,0,0,0,0,1,0,1,0
0.107037067,1,1,0,1,1,0,0,1,0,0,0,0,0,1,1,0
0.107401132,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1,0
0.207886934,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
0.208255052,1,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0
0.208621978,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
0.208987951,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1
0.20935297,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
0.209720134,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0
0.210086107,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.210451126,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.310941934,1,1,0,1,1,0,0,1,1,1,0,1,0,0,1,0
0.311310052,1,1,0,1,1,0,1,1,1,1,0,0,0,0,1,0
0.311676025,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,0
0.312041044,1,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1
0.312407016,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
0.312772035,1,1,0,0,1,0,0,0,1,1,0,0,1,0,1,0
0.313137054,1,1,0,1,1,0,0,1,1,1,0,0,0,1,1,0
0.313503026,1,1,1,1,1,0,0,1,1,1,0,0,0,0,1,0
0.414001941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
0.41437292,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.414737939,1,1,0,1,1,1,0,1,0,1,0,0,0,0,0,0
0.41510415,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,1
0.415468931,1,1,0,1,1,0,0,0,0,1,1,0,0,0,0,0
0.41583395,1,1,0,1,1,0,0,1,0,1,0,0,1,0,0,0
0.416201114,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0.416566133,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0.517050027,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
0.517416954,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0.517782926,0,1,0,1,0,1,0,1,1,1,0,0,0,0,1,0
0.518151044,0,1,0,1,0,0,0,1,1,1,0,0,0,0,1,1
0.518516063,0,1,0,1,0,0,0,1,1,1,1,0,0,0,1,0
